entry,key,ground_truth,predicted,match
0,sub_total.subtotal_price,60.0,60.0,True
0,menu[0].price,60.0,60.0,True
0,menu[0].nm,-ticketcp,edccimbnigano:xx730,False
0,total.total_price,60.0,65.45,False
0,menu[0].num,901016.0,xx730,False
0,menu[0].cnt,2.0,1.0,False
0,total.creditcardprice,60.0,65.45,False
0,total.menuqty_cnt,2.0,1.0,False
0,menu[0].itemsubtotal,60.0,60.0,True
0,sub_total.tax_price,5.455,5.45,False
0,sub_total.discount_price,-60.0,0.0,False
1,menu[0].nm,j.stbpromo,j.stbpromotion,False
1,menu[0].price,17500.0,17500.0,True
1,total.total_price,91000.0,45000.0,False
1,total.cashprice,91000.0,45000.0,False
1,menu[1].nm,y.b.bat,y.basopromotion,False
1,menu[2].nm,y.basoprom,,False
1,menu[1].price,46000.0,27500.0,False
1,menu[2].price,27500.0,,False
2,sub_total.subtotal_price,28000.0,24000.0,False
2,menu[0].price,24000.0,24000.0,True
2,menu[0].nm,jasminemt(l),coconutjelly(l),False
2,total.total_price,28000.0,24000.0,False
2,total.cashprice,100000.0,24000.0,False
2,total.changeprice,72000.0,0.0,False
2,menu[0].cnt,1.0,1.0,True
2,total.menuqty_cnt,1.0,1.0,True
2,menu[0].sub,{'nm':'coconutjelly(l)''price':'4000'},,False
3,sub_total.subtotal_price,11000.0,11000.0,True
3,menu[0].nm,donatgula,donatgula,True
3,menu[0].price,11000.0,11000.0,True
3,menu[0].unitprice,@11000,,False
3,total.total_price,11000.0,11000.0,True
3,menu[0].cnt,1x,1.0,False
3,total.menuqty_cnt,1.00xitems,1.0,False
3,total.cashprice,11000.0,11000.0,True
4,sub_total.subtotal_price,194000.0,61000.0,False
4,menu[0].price,82000.0,61000.0,False
4,menu[0].nm,iceblackcoffe,avocadocoffee,False
4,total.total_price,174600.0,61000.0,False
4,sub_total.discount_price,19400.0,0.0,False
4,total.cashprice,200000.0,61000.0,False
4,total.changeprice,25400.0,0.0,False
4,menu[0].cnt,2.0,1.0,False
4,menu[2].nm,chikenkatsuff,,False
4,menu[2].cnt,1.0,,False
4,menu[1].nm,avocadocoffee,,False
4,menu[1].price,61000.0,,False
4,menu[2].price,51000.0,,False
4,menu[1].cnt,1.0,,False
5,sub_total.subtotal_price,28.182,31.0,False
5,menu[0].nm,tradkytoastcarte,subtotal,False
5,menu[0].price,28.182,31.0,False
5,total.total_price,31.0,31.0,True
5,total.menuqty_cnt,1.0,1.0,True
5,total.cashprice,31.0,31.0,True
5,sub_total.tax_price,2.818,0.0,False
6,menu[0].price,13000.0,13000.0,True
6,menu[0].nm,eggtart,eggtart,True
6,total.total_price,46000.0,56000.0,False
6,total.cashprice,50000.0,56000.0,False
6,total.changeprice,4000.0,0.0,False
6,menu[0].cnt,1.0,1.0,True
6,menu[2].nm,redbeanbread,,False
6,menu[2].cnt,1.0,,False
6,menu[1].nm,chococusardpastry,redbeanbread,False
6,menu[1].price,24000.0,9000.0,False
6,menu[2].price,9000.0,,False
6,menu[1].cnt,2.0,1.0,False
7,sub_total.subtotal_price,100909.0,10099.0,False
7,menu[0].nm,kupon15,adochickenbox,False
7,menu[0].price,100000.0,10099.0,False
7,total.total_price,111000.0,111000.0,True
7,total.cashprice,rp.111000,111000.0,False
7,menu[0].sub,{'nm':'addchickenbox''price':'909'},,False
7,sub_total.tax_price,10091.0,0.0,False
8,sub_total.subtotal_price,45455.0,49995.0,False
8,menu[0].price,45455.0,45450.0,False
8,menu[0].nm,[reg]blacksakura,blacksakura,False
8,total.total_price,50000.0,50000.0,True
8,menu[0].cnt,1.0,1.0,True
8,total.creditcardprice,50000.0,50000.0,True
8,menu[0].sub,[{'nm':'cookiedohsauces''cnt':'1''price':'0'}{'nm':'natadecoco''cnt':'1''price':'0'}],,False
8,sub_total.tax_price,4545.0,0.0,False
8,sub_total.etc,0.0,0.0,True
9,sub_total.subtotal_price,36000.0,3800.0,False
9,menu[0].nm,bumbukalduayam1,bumbukalduayam1,True
9,menu[0].price,36000.0,3800.0,False
9,menu[0].unitprice,36000.0,,False
9,total.changeprice,14000.0,0.0,False
9,total.cashprice,50000.0,3800.0,False
10,sub_total.subtotal_price,17000.0,17000.0,True
10,menu[0].nm,cinnamonsugar,cinnamonsugar,True
10,menu[0].price,17000.0,17000.0,True
10,menu[0].unitprice,17000.0,,False
10,total.total_price,17000.0,17000.0,True
10,total.changeprice,3000.0,0.0,False
10,menu[0].cnt,1x,x17000,False
10,total.cashprice,20000.0,17000.0,False
11,menu[0].price,230000.0,230000.0,True
11,menu[0].nm,banaberryfreshcreamcak,bananafreshcreamcake,False
11,total.total_price,230000.0,230000.0,True
11,total.changeprice,0.0,0.0,True
11,menu[0].cnt,1.0,1.0,True
11,total.cashprice,230000.0,230000.0,True
12,menu[0].nm,bluswanita,bluswanita,True
12,menu[0].unitprice,@120000,,False
12,total.total_price,120000.0,120000.0,True
12,menu[1].discountprice,100%,,False
12,menu[1].itemsubtotal,0.0,,False
12,total.changeprice,0.0,0.0,True
12,menu[0].num,0571-1854,1.0,False
12,menu[0].cnt,1.0,1.0,True
12,menu[1].num,1002-0060,,False
12,menu[0].discountprice,0%,,False
12,menu[0].itemsubtotal,120000.0,120000.0,True
12,menu[1].nm,shoppingbag,,False
12,total.creditcardprice,120000.0,0.0,False
12,total.menuqty_cnt,(2,1.0,False
12,menu[1].unitprice,@880,,False
12,menu[1].cnt,1.0,,False
13,menu[0].nm,basokuah,basokih,False
13,menu[0].price,43.636,43.636,True
13,menu[0].unitprice,43.636,,False
13,sub_total.subtotal_price[1],46.636,,False
13,total.total_price,51.3,47.636,False
13,total.cashprice,52.0,47.636,False
13,total.changeprice,700.0,0.0,False
